# chrony 4.5 C function inventory (doxygen 1.9.8, commit 120dfb8b36b942c31ddfc0220ca1475159ac5031)
# file	n_functions	functions(comma-sep)
refclock.c	28	RCL_AddCookedPulse,RCL_AddPulse,RCL_AddRefclock,RCL_AddSample,RCL_CheckDriverOptions,RCL_Finalise,RCL_GetDriverData,RCL_GetDriverOption,RCL_GetDriverParameter,RCL_GetDriverPoll,RCL_GetPrecision,RCL_Initialise,RCL_ReportSource,RCL_SetDriverData,RCL_StartRefclocks,accumulate_sample,add_dispersion,check_pulse_edge,convert_tai_offset,follow_local,get_local_stats,get_next_driver_option,get_refclock,log_sample,poll_timeout,pps_stratum,slew_samples,valid_sample_time
refclock_phc.c	0	
refclock_pps.c	0	
refclock_shm.c	3	shm_finalise,shm_initialise,shm_poll
refclock_sock.c	3	read_sample,sock_finalise,sock_initialise
reference.c	45	REF_AdjustReference,REF_DisableLocal,REF_EnableLocal,REF_Finalise,REF_GetLeapMode,REF_GetMode,REF_GetOrphanStratum,REF_GetOurStratum,REF_GetReferenceParams,REF_GetSkew,REF_GetTaiOffset,REF_GetTrackingReport,REF_Initialise,REF_IsLeapSecondClose,REF_ModifyMakestep,REF_ModifyMaxupdateskew,REF_SetManualReference,REF_SetMode,REF_SetModeEndHandler,REF_SetReference,REF_SetUnsynchronised,REF_UpdateLeapStatus,end_ref_mode,fb_drift_timeout,fuzz_ref_time,get_clock_estimates,get_correction_rate,get_root_dispersion,get_tz_leap,handle_slew,is_leap_close,is_leap_second_day,is_offset_ok,is_step_limit_reached,leap_end_timeout,leap_start_timeout,maybe_log_offset,schedule_fb_drift,set_leap_timeout,special_mode_sync,update_drift_file,update_fb_drifts,update_leap_status,update_sync_status,write_log
regress.c	11	RGR_FindBestRegression,RGR_FindBestRobustRegression,RGR_FindMedian,RGR_GetChi2Coef,RGR_GetTCoef,RGR_MultipleRegress,RGR_WeightedRegression,eval_robust_residual,find_median,find_ordered_entry_with_flags,n_runs_from_residuals
rtc.c	9	RTC_Finalise,RTC_GetReport,RTC_Initialise,RTC_StartMeasurements,RTC_TimeInit,RTC_Trim,RTC_WriteParameters,apply_driftfile_time,get_driftfile_time
rtc_linux.c	26	RTC_Linux_Finalise,RTC_Linux_GetReport,RTC_Linux_Initialise,RTC_Linux_StartMeasurements,RTC_Linux_TimeInit,RTC_Linux_TimePreInit,RTC_Linux_Trim,RTC_Linux_WriteParameters,accumulate_sample,discard_samples,handle_initial_trim,handle_relock_after_trim,maybe_autotrim,measurement_timeout,process_reading,read_coefs_from_file,read_from_device,read_hwclock_file,rtc_from_t,run_regression,set_rtc,setup_config,slew_samples,switch_interrupts,t_from_rtc,write_coefs_to_file
samplefilt.c	18	SPF_AccumulateSample,SPF_AddDispersion,SPF_CorrectOffset,SPF_CreateInstance,SPF_DestroyInstance,SPF_DropSamples,SPF_GetAvgSampleDispersion,SPF_GetFilteredSample,SPF_GetLastSample,SPF_GetMaxSamples,SPF_GetNumberOfSamples,SPF_SlewSamples,check_sample,combine_selected_samples,compare_samples,drop_samples,get_first_last,select_samples
sched.c	22	SCH_AddFileHandler,SCH_AddTimeout,SCH_AddTimeoutByDelay,SCH_AddTimeoutInClass,SCH_Finalise,SCH_GetLastEventMonoTime,SCH_GetLastEventTime,SCH_Initialise,SCH_MainLoop,SCH_QuitProgram,SCH_RemoveFileHandler,SCH_RemoveTimeout,SCH_SetFileHandlerEvent,allocate_tqe,check_current_time,dispatch_filehandlers,dispatch_timeouts,fill_fd_sets,get_new_tqe_id,handle_slew,release_tqe,update_monotonic_time
siv_gnutls.c	12	SIV_CreateInstance,SIV_Decrypt,SIV_DestroyInstance,SIV_Encrypt,SIV_GetKeyLength,SIV_GetMaxNonceLength,SIV_GetMinNonceLength,SIV_GetTagLength,SIV_SetKey,deinit_gnutls,get_cipher_algorithm,init_gnutls
siv_nettle.c	9	SIV_CreateInstance,SIV_Decrypt,SIV_DestroyInstance,SIV_Encrypt,SIV_GetKeyLength,SIV_GetMaxNonceLength,SIV_GetMinNonceLength,SIV_GetTagLength,SIV_SetKey
siv_nettle_int.c	12	CMAC128_CTX,_cmac128_block_mulx,_siv_s2v,cmac128_digest,cmac128_set_key,cmac128_update,cmac_aes128_digest,cmac_aes128_set_key,cmac_aes128_update,siv_cmac_aes128_decrypt_message,siv_cmac_aes128_encrypt_message,siv_cmac_aes128_set_key
smooth.c	12	SMT_Activate,SMT_Finalise,SMT_GetOffset,SMT_GetSmoothingReport,SMT_Initialise,SMT_IsEnabled,SMT_Leap,SMT_Reset,get_smoothing,handle_slew,update_smoothing,update_stages
